states,family,enters_band,band_entry_parameter,band_exit_parameter
8,zipf_K,True,1.74,2.32
8,exponential_K,True,0.82,1.24
8,logistic_K,False,,
20,zipf_K,True,1.74,2.27
20,exponential_K,True,0.7,1.14
20,logistic_K,False,,
60,zipf_K,True,1.75,2.25
60,exponential_K,True,0.65,1.09
60,logistic_K,False,,
120,zipf_K,True,1.76,2.24
120,exponential_K,True,0.64,1.08
120,logistic_K,False,,
240,zipf_K,True,1.76,2.24
240,exponential_K,True,0.63,1.07
240,logistic_K,False,,
360,zipf_K,True,1.77,2.23
360,exponential_K,True,0.63,1.07
360,logistic_K,False,,
